meas_ts_local_tz,meas_lat_deg_dec,meas_lon_deg_dec,meas_val
2017-12-22 07:59:00+00:00,37.38361205,-122.0267463,0.379735324
2017-12-22 07:59:00+00:00,37.48871809,-122.2154032,0.712313026
2017-12-22 07:59:00+00:00,37.74331379,-122.1767123,0.232737309
2017-12-22 07:59:00+00:00,37.68358309,-121.7765929,0.16742241
2017-12-22 07:59:00+00:00,37.68671783,-121.7771834,-0.205138603
2017-12-22 07:59:00+00:00,37.37766072,-121.9100231,0.58185078
2017-12-22 07:59:00+00:00,37.38662803,-122.0275586,0.485562092
2017-12-22 07:59:00+00:00,37.72708898,-122.184653,1.880843741
2017-12-22 07:59:00+00:00,37.42924269,-122.1405923,0.156183654
2017-12-22 07:59:00+00:00,37.49269475,-122.2409662,0.541107649
2017-12-22 07:59:00+00:00,37.80927387,-122.2935336,0.306638742
2017-12-22 07:59:00+00:00,37.75850437,-122.1518091,0.200747822
2017-12-22 07:59:00+00:00,37.81123957,-122.2689453,0.214623196
2017-12-22 07:59:00+00:00,37.76513856,-122.1711897,0.229027117
2017-12-22 07:59:00+00:00,37.74308201,-122.1765377,0.224155015
2017-12-22 07:59:00+00:00,37.77248417,-122.5035316,0.597160657
2017-12-22 07:59:00+00:00,37.48048573,-122.2297696,0.90914968
2017-12-22 07:59:00+00:00,37.38685126,-121.9906113,-0.024302346
2017-12-22 07:59:00+00:00,37.37817428,-121.9958587,1.026806184
2017-12-22 07:59:00+00:00,37.47732764,-122.2362133,0.867456987
2017-12-22 07:59:00+00:00,37.73943193,-122.1967806,0.62718678
2017-12-22 07:59:00+00:00,37.39155602,-121.9025481,0.750924056
2017-12-22 07:59:00+00:00,37.81665662,-122.2859176,0.314898238
2017-12-22 07:59:00+00:00,37.75104125,-122.1652577,0.135915154
2017-12-22 07:59:00+00:00,37.78050754,-122.4685511,0.491137705
2017-12-22 07:59:00+00:00,37.36235783,-121.9084995,0.673604866
2017-12-22 07:59:00+00:00,37.77696568,-122.1789661,0.53146032
2017-12-22 07:59:00+00:00,37.7632997,-122.1981708,1.278397569
2017-12-22 07:59:00+00:00,37.35587131,-121.9023922,0.646656079
2017-12-22 07:59:00+00:00,37.67980332,-121.7679242,0.241894032
2017-12-22 07:59:00+00:00,37.39912481,-122.0280933,1.965159995
2017-12-22 07:59:00+00:00,37.80136143,-122.27153,0.353559261
2017-12-22 07:59:00+00:00,37.78227551,-122.462228,0.411846435
2017-12-22 07:59:00+00:00,37.7996007,-122.3064642,0.883498192
2017-12-22 07:59:00+00:00,37.33145085,-121.8755758,0.347884088
2017-12-22 07:59:00+00:00,37.82291416,-122.285472,0.408691708
2017-12-22 07:59:00+00:00,37.80292127,-122.2902318,0.859060585
2017-12-22 07:59:00+00:00,37.76507926,-122.1740823,0.145678697
2017-12-22 07:59:00+00:00,37.89771656,-122.263582,0.039553894
2017-12-22 07:59:00+00:00,37.38893832,-122.0283126,0.376545024
2017-12-22 07:59:00+00:00,37.80873806,-122.2824949,0.206627298
2017-12-22 07:59:00+00:00,37.69205589,-121.7886331,0.285015019
2017-12-22 07:59:00+00:00,37.34152521,-121.8776591,0.47692456
2017-12-22 07:59:00+00:00,37.68916141,-121.7863736,0.95621456
2017-12-22 07:59:00+00:00,37.81350774,-122.2611438,0.406866197
2017-12-22 07:59:00+00:00,37.38196567,-121.9014435,0.590021488
2017-12-22 07:59:00+00:00,37.77601414,-122.4907727,0.292042523
2017-12-22 07:59:00+00:00,37.35579777,-121.8766271,0.49557407
2017-12-22 07:59:00+00:00,37.75749319,-122.1691101,0.139234241
2017-12-22 07:59:00+00:00,37.79740711,-122.2645115,0.320119487
